"","Economy","IT","Life_Cult","Politics","Society","World"
"1",659886,112092,260844,1911107,1506685,305898
"2",515121,148336,194695,1717366,1365131,255383
"3",573704,118948,288874,2218102,1709256,354731
"4",407151,108718,154541,1939494,1088885,206754
"5",496035,96606,178784,2021505,1113531,271456
"6",414582,94331,209414,1496470,1026012,262090
"7",774258,110048,286352,1857602,1143347,541489
"8",613186,146976,331226,2443301,1590230,582676
"9",394022,129072,254382,2972514,1950946,337660
"10",436861,126394,277971,2222571,1861683,312727
"11",678359,146599,254832,3278917,2554161,270679
"12",700864,127796,206871,1959943,1463843,300111
