"","x"
"1","간나새끼"
"2","개간나"
"3","종간나"
"4","쌍간나"
"5","좆간나"
"6","갈보"
"7","걸레"
"8","창녀"
"9","개간년"
"10","개나리"
"11","개년"
"12","개돼지"
"13","개새끼"
"14","좆"
"15","좃같은"
"16","족같은"
"17","개쓰레기"
"18","개소리"
"19","개씨발"
"20","개씹할"
"21","개씹"
"22","개좆"
"23","개지랄"
"24","개지랄"
"25","개족새"
"26","개차반"
"27","거렁뱅이"
"28","과메기"
"29","광녀"
"30","광년이"
"31","괴뢰"
"32","괴뢰군"
"33","그지깽깽이"
"34","급식충"
"35","김치녀"
"36","꺼벙이"
"37","꼬붕"
"38","꼰대"
"39","꼴통"
"40","대가리"
"41","연놈"
"42","노슬아치"
"43","논다니"
"44","느개비"
"45","느금마"
"46","니미럴"
"47","느금마"
"48","니기미"
"49","닝기미"
"50","니상년"
"51","새꺄"
"52","새1끼"
"53","나가뒤져"
"54","닭"
"55","뒈져"
"56","뒤져"
"57","등신"
"58","따까리"
"59","딸딸"
"60","떨거지"
"61","또라이"
"62","돌아이"
"63","똘빡"
"64","똘"
"65","똘추"
"66","똥"
"67","빡대"
"68","맘충"
"69","멍청이"
"70","머저리"
"71","무뇌"
"72","무뇌충"
"73","미친개"
"74","병신"
"75","보슬"
"76","보슬아치"
"77","보전깨"
"78","보지"
"79","보지년"
"80","보추"
"81","불알"
"82","부랄"
"83","불한당"
"84","븅딱"
"85","빠가"
"86","애미"
"87","애비"
"88","애미애비"
"89","빨갱이"
"90","빨통"
"91","떡"
"92","법규"
"93","뻐큐"
"94","빡대가리"
"95","새끼"
"96","십장생"
"97","썅"
"98","쓰레기"
"99","씨발"
"100","십할"
"101","씌발"
"102","시발"
"103","씨이발"
"104","씨발놈"
"105","씨발년"
"106","씨발새끼"
"107","씨방새"
"108","씨방놈"
"109","씨방년"
"110","씨방짭새"
"111","씨부랄"
"112","시부랄"
"113","시브랄"
"114","씨브랄"
"115","씹"
"116","씹새끼"
"117","씹쌔"
"118","씹창"
"119","씹년"
"120","싸이코"
"121","사이코"
"122","뒤졌네"
"123","씹치남"
"124","씹치녀"
"125","암닭년"
"126","암탉"
"127","아다"
"128","아가리"
"129","여물"
"130","애자"
"131","애비충"
"132","씹선비"
"133","선비"
"134","양아치"
"135","얼간이"
"136","엠창"
"137","니미씨발"
"138","엠창인생"
"139","염병"
"140","옘병"
"141","우라질"
"142","운지"
"143","육변기"
"144","육시럴"
"145","니애비"
"146","니애미"
"147","자지"
"148","저능아"
"149","조센징"
"150","ㅈㄴ"
"151","졸라"
"152","ㅈ1ㄴ"
"153","ㅈ ㄴ"
"154","ㅈㄹ"
"155","ㅈ ㄹ"
"156","ㅈ1ㄹ"
"157","종간나새끼"
"158","좆간나새끼"
"159","좃새끼"
"160","좃간나새끼"
"161","좆"
"162","좆까"
"163","좆까라"
"164","좆망"
"165","좆밥"
"166","좆대가리"
"167","좆집"
"168","쥐새끼"
"169","지랄"
"170","짭새"
"171","찐따"
"172","틀딱충"
"173","한남"
"174","한남충"
"175","호로"
"176","호로새끼"
"177","홍어"
"178","화냥년"
"179","후장"
"180","똥꼬"
"181","후빨"
