"","Economy","IT","Life_Cult","Politics","Society","World"
"1",100360767,24318368,66185551,94377073,224854699,56742533
"2",82605339,26571839,60148342,81224742,195040992,52918607
"3",92725836,22961125,81840238,102367831,274495875,69620547
"4",64376011,26225649,29612244,90189555,171676720,45618439
"5",58151423,17556183,30631936,79373214,143327966,49052918
"6",47012168,15552585,36170789,69076368,148542046,54264870
"7",74764867,20546391,47437879,80397013,155554583,66601541
"8",81484980,31272142,64107155,99438941,149975828,86008202
"9",59604523,28324852,58441438,113892992,152266161,63514743
"10",56800322,27399146,53852995,90718911,163767600,67452310
"11",184035809,36879388,80367084,178246245,383292716,66053212
"12",106837908,26320105,88204415,45959082,242464417,74342050
